鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
內湖區,房地(土地+建物),臺北市內湖區康寧路三段265巷31~60號,32.86,住,,,1060509,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750401,118.77,3,2,1,有,無,15000000,126295,,0,0,,RPROMLLJOHMFFCA67DA
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街31~60號,69.74,工,,,1050928,土地1建物1車位8,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050608,580.76,0,0,0,無,有,73200000,214022,坡道平面,309.76,15200000,毛坯屋-未隔間-未裝潢,RPVPMLLJOHMFFCA18DA
中山區,房地(土地+建物),臺北市中山區民生東路一段61~90號,11,商,,,1060302,土地1建物1車位0,一層，騎樓，夾層,十層,店面(店鋪),商業用,鋼筋混凝土造,850917,56.2,0,2,1,有,有,13500000,240214,,0,0,含增建或未登記建物。,RPQRMLMJOHMFFCA97DA
內湖區,房地(土地+建物),臺北市內湖區成功路三段187巷3弄31~60號,28.79,住,,,1060502,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690603,99.49,3,2,2,有,無,11700000,117600,,0,0,,RPSOMLNJOHMFFCA97DA
萬華區,房地(土地+建物),臺北市萬華區西園路二段271~300號,17.14,住,,,1060418,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660120,84.92,2,2,1,有,無,10500000,123646,,0,0,,RPROMLKMOHMFFBA77DA
中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段72巷1~30號,23.16,商,,,1060419,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1011122,136.41,3,2,2,有,有,31600000,240653,塔式車位,12.58,1800000,,RPQQMLPJOHMFFCA18DA
中山區,房地(土地+建物),臺北市中山區松江路1~30號,12.35,商,,,1060428,土地2建物1車位0,一層，騎樓,十五層,店面(店鋪),商業用,鋼筋混凝土造,851212,96.98,0,1,1,有,有,37000000,381522,,0,0,,RPVRMLQJOHMFFCA88DA
中山區,房地(土地+建物),臺北市中山區民生東路一段61~90號,6.4,商,,,1060401,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,730605,65.61,2,2,1,有,有,10600000,161561,,0,0,含增建或未登記建物。權利人2人,RPPNMLOJOHMFFCA67DA
中山區,房地(土地+建物),臺北市中山區龍江路181~210號,36.75,住,,,1060424,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,831229,112.65,3,2,2,有,有,22280000,197781,,0,0,含增建或未登記建物。,RPRNMLOJOHMFFCA87DA
文山區,房地(土地+建物),臺北市文山區興隆路一段241~270號,11.69,住,,,1060507,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,970131,67.75,2,1,1,有,有,11680000,172399,,0,0,含增建或未登記建物,RPSOMLQKOHMFFAA18DA
文山區,房地(土地+建物)+車位,臺北市文山區政大一街181~210號,130.83,住,,,1060408,土地1建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,1000519,303.44,8,2,4,有,有,42000000,138413,坡道平面,0,0,含增建或未登記建物。,RPTOMLQKOHMFFAA28DA
萬華區,房地(土地+建物),臺北市萬華區廣州街223巷1~30號,4.73,商,,,1060512,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720725,20.17,3,1,1,有,無,1830000,90729,,0,0,共有人間移轉親友、員工或其他特殊關係間之交易。,RPUNMLPJOHMFFBA18DA
